id,acronym,name,entrez_id,reference_space_id,specimen_id,plane_of_section_id,id
14185,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2",14409,7,5547,2,100070250
86489,Tfap2d,"transcription factor AP-2, delta",226896,8,5443,2,100053314
14586,Grin1,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",14810,10,79380623,2,79632316
16272,Kcnab3,"potassium voltage-gated channel, shaker-related subfamily, beta member 3",16499,6,703386,2,100092243
11229,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",11440,10,702990,2,100084607
37265,Pvrl1,poliovirus receptor-related 1,58235,6,703588,2,100093013
21816,Trp53,transformation related protein 53,22059,3,5657,2,100054363
19140,Rai1,retinoic acid induced 1,19377,5,701266,2,100082953
20039,Scnn1a,"sodium channel, nonvoltage-gated 1 alpha",20276,6,703194,2,100091850
36090,Dkk2,dickkopf homolog 2 (Xenopus laevis),56811,7,703996,2,100101245
88528,Zfhx2,zinc finger homeobox 2,239102,1,700734,2,100075110
14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,2,4939,2,100046105
88778,Gpr161,G protein-coupled receptor 161,240888,8,4609,2,100036398
15106,Hmgn2,high mobility group nucleosomal binding domain 2,15331,5,701194,2,100077425
37806,Nrip2,nuclear receptor interacting protein 2,60345,8,5979,2,100073858
21107,Tagln2,transgelin 2,21346,2,701924,2,100087987
73888,Maob,monoamine oxidase B,109731,10,6980,2,100082299
74990,Chrna5,"cholinergic receptor, nicotinic, alpha polypeptide 5",110835,1,5056,2,100046246
11268,Acvr2a,activin receptor IIA,11480,8,4705,2,100035680
19462,Reln,reelin,19699,10,79314336,2,79394359
17523,Map2,microtubule-associated protein 2,17756,6,703193,2,100091855
20422,Sorl1,"sortilin-related receptor, LDLR class A repeats-containing",20660,3,700740,2,100082632
22171,Wnt2b,"wingless-type MMTV integration site family, member 2B",22414,6,700831,2,100074267
86335,Rorb,RAR-related orphan receptor beta,225998,8,6165,2,100075454
107093,Zmat4,"zinc finger, matrin type 4",320158,10,69059392,2,69447816
84148,Gpr139,G protein-coupled receptor 139,209776,2,701510,2,100077064
11616,Aqp4,aquaporin 4,11829,3,4039,2,100040972
19950,Ryk,receptor-like tyrosine kinase,20187,2,5450,2,100053192
43913,Pdzd2,PDZ domain containing 2,68070,6,6291,2,100057383
83882,Skor1,SKI family transcriptional corepressor 1,207667,6,701379,2,100076626
18960,Pspn,persephin,19197,10,70499969,2,71377826
32943,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",53625,5,701267,2,100082947
11409,Ahr,aryl-hydrocarbon receptor,11622,7,5736,2,100071139
14582,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",14806,1,5077,2,100045990
14688,Nkx6-2,NK6 homeobox 2,14912,3,6271,2,100057676
40718,Clstn2,calsyntenin 2,64085,10,72135205,2,74003395
46387,Zdhhc2,"zinc finger, DHHC domain containing 2",70546,10,69837432,2,70598366
26204,Sema4g,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G",26456,1,701389,2,100081660
75031,Slc18a1,"solute carrier family 18 (vesicular monoamine), member 1",110877,5,700859,2,100076117
12946,Dbh,dopamine beta hydroxylase,13166,7,5184,2,100045694
14428,Glp1r,glucagon-like peptide 1 receptor,14652,10,71444883,2,73606497
14579,Grid1,"glutamate receptor, ionotropic, delta 1",14803,3,701545,2,100085156
11391,Agrp,agouti related protein,11604,6,4756,2,100056167
13286,Dsc3,desmocollin 3,13507,1,6501,2,100058750
20429,Sox12,SRY (sex determining region Y)-box 12,20667,2,702958,2,100093337
18153,Oprd1,"opioid receptor, delta 1",18386,8,6160,2,100075436
21104,Taf6,"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor",21343,10,68804383,2,69174553
89612,Onecut3,"one cut domain, family member 3",246086,10,81618782,2,81655213
14014,Foxd4,forkhead box D4,14237,10,71121602,2,71280499
71754,Mylk,"myosin, light polypeptide kinase",107589,7,1197,2,100015431
12701,Crh,corticotropin releasing hormone,12918,10,703256,2,100101366
23602,Klf6,Kruppel-like factor 6,23849,1,112631397,2,113967207
40691,Perp,"PERP, TP53 apoptosis effector",64058,1,703644,2,100092731
12914,Dach1,dachshund 1 (Drosophila),13134,10,69683887,2,70431277
22074,Vamp1,vesicle-associated membrane protein 1,22317,10,69196934,2,69262346
18893,Prox1,prospero homeobox 1,19130,7,1198,2,100015440
84562,Lgi3,"leucine-rich repeat LGI family, member 3",213469,2,701530,2,100077007
21099,Tacr3,tachykinin receptor 3,21338,10,7075,2,100098211
17744,Ncoa1,nuclear receptor coactivator 1,17977,10,68857409,2,69289471
11646,Phox2a,paired-like homeobox 2a,11859,8,6082,2,100074350
81990,Cdhr1,cadherin-related family member 1,170677,6,4821,2,100056042
42290,Mgst3,microsomal glutathione S-transferase 3,66447,1,5004,2,100045903
19164,Rara,"retinoic acid receptor, alpha",19401,1,6857,2,100072460
50322,Batf2,"basic leucine zipper transcription factor, ATF-like 2",74481,1,111342258,2,113971069
52047,Gpr165,G protein-coupled receptor 165,76206,3,4053,2,100036971
14188,Slc6a13,"solute carrier family 6 (neurotransmitter transporter, GABA), member 13",14412,7,5498,2,100070127
20237,Six5,sine oculis-related homeobox 5,20475,3,6919,2,100073067
18356,Pdgfa,"platelet derived growth factor, alpha",18590,5,701565,2,100085464
52703,Dcun1d5,"DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)",76863,6,701825,2,100081612
68483,Csnk1d,"casein kinase 1, delta",104318,6,4361,2,100051828
13963,Fgfr4,fibroblast growth factor receptor 4,14186,5,4351,2,100054724
11945,Bmp4,bone morphogenetic protein 4,12159,3,4039,2,100039997
51440,Pcdh1,protocadherin 1,75599,3,6143,2,100058569
42848,Polr3k,polymerase (RNA) III (DNA directed) polypeptide K,67005,10,69705244,2,70439087
16143,Irs4,insulin receptor substrate 4,16370,8,4738,2,100042134
12588,Cntn1,contactin 1,12805,5,6495,2,100071488
60534,Pcdhb14,protocadherin beta 14,93885,5,6843,2,100072383
122629,Zhx2,zinc fingers and homeoboxes 2,387609,10,67968415,2,68798819
43717,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",67874,10,5205,2,100041096
22528,Zic1,zinc finger protein of the cerebellum 1,22771,7,703592,2,100093741
81891,Cntnap4,contactin associated protein-like 4,170571,10,591079,2,68196926
43627,Plxnd1,plexin D1,67784,2,701530,2,100077041
11229,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",11440,10,75179632,2,75551481
17037,Meis1,Meis homeobox 1,17268,5,701502,2,100085417
84240,Unc5d,unc-5 homolog D (C. elegans),210801,10,69594295,2,70302908
88886,L3mbtl1,l(3)mbt-like (Drosophila),241764,1,712503,2,113969740
12076,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,1,4817,2,100046113
43708,Rgs10,regulator of G-protein signalling 10,67865,2,701937,2,100087981
129123,Adcy1,adenylate cyclase 1,432530,6,6757,2,100072172
78123,Foxn4,forkhead box N4,116810,3,6268,2,100057663
21573,Tgfbr3,"transforming growth factor, beta receptor III",21814,3,5614,2,100049546
11339,Adra2b,"adrenergic receptor, alpha 2b",11552,10,80329298,2,80525494
15240,Hrh1,histamine receptor H1,15465,5,701796,2,100088180
47626,Pdgfd,"platelet-derived growth factor, D polypeptide",71785,6,4503,2,100054905
20272,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",20510,8,3195,2,100040708
14178,Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",14402,10,69223352,2,69256872
13575,Emx2,empty spiracles homeobox 2,13797,5,6544,2,100071580
15176,Hoxa4,homeobox A4,15401,1,700772,2,100077796
18610,Plxna3,plexin A3,18846,5,6523,2,100071562
86813,Tshz2,teashirt zinc finger family member 2,228911,2,712458,2,113392841
19646,Rora,RAR-related orphan receptor alpha,19883,8,4702,2,100040008
12959,Dcn,decorin,13179,7,1195,2,100015428
42848,Polr3k,polymerase (RNA) III (DNA directed) polypeptide K,67005,8,713755,2,166340352
75055,Chrna2,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",110902,3,704128,2,100093194
29927,Lmcd1,LIM and cysteine-rich domains 1,30937,3,704394,2,100098154
88952,Grin3a,"glutamate receptor ionotropic, NMDA3A",242443,8,4792,2,100041087
12543,Clu,clusterin,12759,10,77477585,2,77800883
18812,Ppp1r1b,"protein phosphatase 1, regulatory (inhibitor) subunit 1B",19049,1,713011,2,112605734
47302,Ptk7,PTK7 protein tyrosine kinase 7,71461,7,4743,2,100042516
18206,P2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",18439,8,4878,2,100045245
13946,Fgf14,fibroblast growth factor 14,14169,2,5168,2,100049429
20119,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",20356,3,714605,2,113391531
17467,Mstn,myostatin,17700,3,5615,2,100049467
13577,En2,engrailed 2,13799,6,4718,2,100056142
124782,Scn4b,"sodium channel, type IV, beta",399548,6,7023,2,100072191
14193,Gad2,glutamic acid decarboxylase 2,14417,6,703198,2,100092175
15782,Igfbp3,insulin-like growth factor binding protein 3,16009,8,6163,2,100075415
47976,Pygo1,pygopus 1,72135,2,4522,2,100036911
63547,Sall4,sal-like 4 (Drosophila),99377,6,713965,2,161155662
14490,Gnrh1,gonadotropin releasing hormone 1,14714,10,71478357,2,73712918
120835,Zfp488,zinc finger protein 488,382867,7,5333,2,100053462
20613,Stat5b,signal transducer and activator of transcription 5B,20851,8,5323,2,100053110
16347,Kif5c,kinesin family member 5C,16574,6,702427,2,100084388
92623,Brpf3,"bromodomain and PHD finger containing, 3",268936,10,68731475,2,69113769
12210,Cckar,cholecystokinin A receptor,12425,7,703739,2,100093702
88527,Homez,homeodomain leucine zipper-encoding gene,239099,2,6058,2,100072628
37432,Pex5l,peroxisomal biogenesis factor 5-like,58869,2,4995,2,100047048
72231,Grm3,"glutamate receptor, metabotropic 3",108069,3,5616,2,100049465
11391,Agrp,agouti related protein,11604,10,69133480,2,69524455
86552,Dner,delta/notch-like EGF-related receptor,227325,1,700850,2,100077887
23708,Nr0b2,"nuclear receptor subfamily 0, group B, member 2",23957,10,77294068,2,77454633
16146,Irx3,Iroquois related homeobox 3,16373,1,3238,2,100029043
21744,Tpd52l1,tumor protein D52-like 1,21987,1,5247,2,100046882
20238,Six6,sine oculis-related homeobox 6,20476,1,6041,2,100055535
20121,Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",20358,6,4495,2,100055012
17983,Ntsr1,neurotensin receptor 1,18216,3,5406,2,100042066
87114,Hcrtr1,hypocretin (orexin) receptor 1,230777,5,6499,2,100071553
84750,Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",214968,8,6366,2,100101267
17703,Nab1,Ngfi-A binding protein 1,17936,7,708225,2,165998065
17632,Mybl2,myeloblastosis oncogene-like 2,17865,6,713521,2,161155508
61234,Wwtr1,WW domain containing transcription regulator 1,97064,10,69619632,2,70429501
17196,Mnt,max binding protein,17428,8,5029,2,100049606
44592,Rreb1,ras responsive element binding protein 1,68750,3,4903,2,100046727
18587,Plp1,proteolipid protein (myelin) 1,18823,10,68663355,2,69117382
85488,Scara3,"scavenger receptor class A, member 3",219151,10,69278827,2,69549299
15174,Hoxa2,homeobox A2,15399,7,3317,2,100026596
84413,Frat2,frequently rearranged in advanced T cell lymphomas 2,212398,7,4595,2,100036954
17956,Nrxn1,neurexin I,18189,6,4644,2,100056069
18895,Prph,peripherin,19132,2,701959,2,100093322
15064,Hmgb1,high mobility group box 1,15289,6,701908,2,100081867
14238,Gata3,GATA binding protein 3,14462,7,703690,2,100093750
16277,Kcnc3,"potassium voltage gated channel, Shaw-related subfamily, member 3",16504,8,4825,2,100042159
53419,Myh10,"myosin, heavy polypeptide 10, non-muscle",77579,2,701684,2,100082658
16619,Lfng,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,16848,2,714526,2,113110491
20512,Spp1,secreted phosphoprotein 1,20750,3,701416,2,100084112
18376,Pdyn,prodynorphin,18610,5,6292,2,100057203
74469,Pmch,pro-melanin-concentrating hormone,110312,6,702926,2,100084463
107845,Itgb8,integrin beta 8,320910,7,4741,2,100042634
11280,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,3,6704,2,100072546
93607,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",280645,6,702999,2,100091921
16640,Lhx1,LIM homeobox protein 1,16869,10,79393376,2,79904282
89374,Gpr101,G protein-coupled receptor 101,245424,6,700702,2,100073414
13803,Evl,Ena-vasodilator stimulated phosphoprotein,14026,8,6174,2,100083633
12190,Cbln2,cerebellin 2 precursor protein,12405,10,6961,2,100094782
68321,Etv5,ets variant 5,104156,7,5308,2,100053119
12079,Cacna2d3,"calcium channel, voltage-dependent, alpha2/delta subunit 3",12294,5,701756,2,100090618
85129,Kat7,K(lysine) acetyltransferase 7,217127,3,6103,2,100055688
11652,Arntl,aryl hydrocarbon receptor nuclear translocator-like,11865,10,79374568,2,79632262
11975,Brca1,breast cancer 1,12189,8,713081,2,166423327
17960,Nsd1,nuclear receptor-binding SET-domain protein 1,18193,7,703877,2,100094325
71908,Rapgef1,Rap guanine nucleotide exchange factor (GEF) 1,107746,6,701429,2,100076671
14408,Gli1,GLI-Kruppel family member GLI1,14632,10,68857377,2,69289057
12432,Chat,choline acetyltransferase,12647,2,2960,2,100029310
44115,Pomgnt1,"protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase",68273,2,6341,2,100072750
13967,Fgl2,fibrinogen-like protein 2,14190,6,4516,2,100055152
17812,Nfyb,nuclear transcription factor-Y beta,18045,1,700888,2,100077957
19945,Rxrb,retinoid X receptor beta,20182,1,5677,2,100054245
84148,Gpr139,G protein-coupled receptor 139,209776,10,79320836,2,79354754
88381,Rtn4rl1,reticulon 4 receptor-like 1,237847,2,3763,2,100040059
14688,Nkx6-2,NK6 homeobox 2,14912,6,701592,2,100078522
23839,Tlr2,toll-like receptor 2,24088,10,703254,2,100101346
77592,Dscaml1,Down syndrome cell adhesion molecule like 1,114873,10,70379900,2,71211740
16647,Lhx9,LIM homeobox protein 9,16876,3,2593,2,100026259
30269,Dkk3,dickkopf homolog 3 (Xenopus laevis),50781,7,4660,2,100041732
69514,Akr1c18,"aldo-keto reductase family 1, member C18",105349,7,5464,2,100057101
37252,Rab37,"RAB37, member RAS oncogene family",58222,8,4836,2,100045346
41007,Sp5,trans-acting transcription factor 5,64406,8,713751,2,166339133
15175,Hoxa3,homeobox A3,15400,6,703777,2,100094440
18362,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide",18596,1,701326,2,100081531
20192,Shox2,short stature homeobox 2,20429,2,5746,2,100057657
19966,S100b,"S100 protein, beta polypeptide, neural",20203,8,4876,2,100045237
12396,Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma",12611,1,5886,2,100055416
86931,Amigo1,adhesion molecule with Ig like domain 1,229715,7,6508,2,100083192
20669,Stx1a,syntaxin 1A (brain),20907,5,6488,2,100071512
41281,Scube1,"signal peptide, CUB domain, EGF-like 1",64706,7,4779,2,100045395
12345,Cdh3,cadherin 3,12560,2,5711,2,100057549
19035,Ptprk,"protein tyrosine phosphatase, receptor type, K",19272,6,701800,2,100081445
18978,Ptgds,prostaglandin D2 synthase (brain),19215,5,4356,2,100054714
13652,Ereg,epiregulin,13874,7,4673,2,100039424
57576,Cacng7,"calcium channel, voltage-dependent, gamma subunit 7",81904,7,701597,2,100083169
18393,Per2,period circadian clock 2,18627,1,703752,2,100093417
15676,Id3,inhibitor of DNA binding 3,15903,8,5900,2,100071268
17470,Msx3,msh homeobox 3,17703,5,6224,2,100055956
14619,Gsx2,GS homeobox 2,14843,8,950,2,100021787
56674,Dtx3,deltex 3 homolog (Drosophila),80904,3,4062,2,100040872
60980,Hmgn3,high mobility group nucleosomal binding domain 3,94353,5,700862,2,100076097
86346,Glis3,GLIS family zinc finger 3,226075,6,703588,2,100093012
14038,Fmo1,flavin containing monooxygenase 1,14261,1,701384,2,100081652
12609,Col4a1,"collagen, type IV, alpha 1",12826,5,7040,2,100072905
20116,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",20353,3,4929,2,100047205
68547,Barhl2,BarH-like 2 (Drosophila),104382,2,6044,2,100072479
20052,Scx,scleraxis,20289,10,74071397,2,74635719
26885,Tlx3,"T cell leukemia, homeobox 3",27140,6,703479,2,100092996
78444,Necab2,N-terminal EF-hand calcium binding protein 2,117148,5,6231,2,100057171
43448,Akt1s1,AKT1 substrate 1 (proline-rich),67605,1,5567,2,100052747
21568,Tgfb3,"transforming growth factor, beta 3",21809,6,4381,2,100054868
15199,Hoxc5,homeobox C5,15424,6,703463,2,100092318
85214,Stxbp6,syntaxin binding protein 6 (amisyn),217517,10,67795982,2,67814207
20364,Ncor2,nuclear receptor co-repressor 2,20602,3,6140,2,100058521
92611,Robo2,roundabout homolog 2 (Drosophila),268902,10,71121382,2,71281319
12432,Chat,choline acetyltransferase,12647,6,3731,2,100031793
84379,Rln3,relaxin 3,212108,7,5429,2,100056848
92739,Ss18l1,synovial sarcoma translocation gene on chromosome 18-like 1,269397,2,5523,2,100054532
12793,Cst3,cystatin C,13010,10,75044121,2,75492864
63140,Fibcd1,fibrinogen C domain containing 1,98970,8,4615,2,100039313
17064,Met,met proto-oncogene,17295,1,5085,2,100046662
88369,Col23a1,"collagen, type XXIII, alpha 1",237759,3,5388,2,100047563
20423,Sort1,sortilin 1,20661,7,702118,2,100084529
18976,Ptf1a,"pancreas specific transcription factor, 1a",19213,3,6917,2,100073089
106850,A830049F12Rik,RIKEN cDNA A830049F12 gene,319915,5,712818,2,161158285
20186,Shh,sonic hedgehog,20423,8,2401,2,100022504
23693,Mta2,"metastasis-associated gene family, member 2",23942,2,701525,2,100076985
16165,Isl1,"ISL1 transcription factor, LIM/homeodomain",16392,5,3200,2,100032051
13786,Etv1,ets variant 1,14009,7,2957,2,100026968
18385,Penk,preproenkephalin,18619,6,703461,2,100092358
17781,Neurog1,neurogenin 1,18014,10,77385635,2,77465058
52282,Daam2,dishevelled associated activator of morphogenesis 2,76441,3,701550,2,100085114
11709,Neurod4,neurogenic differentiation 4,11923,8,4785,2,100041555
43708,Rgs10,regulator of G-protein signalling 10,67865,10,70499917,2,71377743
43376,Ppfibp1,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",67533,8,6366,2,100101310
23752,Tiam2,T cell lymphoma invasion and metastasis 2,24001,10,7060,2,100082880
14989,Hey1,hairy/enhancer-of-split related with YRPW motif 1,15213,3,5732,2,100054613
16905,Mafk,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)",17135,3,5715,2,100056359
52002,Lamp5,"lysosomal-associated membrane protein family, member 5",76161,5,4566,2,100055820
18818,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",19055,7,760,2,100010063
11632,Arf6,ADP-ribosylation factor 6,11845,6,701628,2,100079270
13759,Esr1,estrogen receptor 1 (alpha),13982,2,5453,2,100053187
14143,Fzd5,frizzled homolog 5 (Drosophila),14367,5,6497,2,100071522
79944,Plxnb2,plexin B2,140570,6,701024,2,100074944
46664,Hmgxb4,HMG box domain containing 4,70823,6,701631,2,100079253
15285,Hspd1,heat shock protein 1 (chaperonin),15510,10,703252,2,100101411
93556,Pcdh19,protocadherin 19,279653,8,5491,2,100056524
32945,Porcn,porcupine homolog (Drosophila),53627,3,5385,2,100047495
106850,A830049F12Rik,RIKEN cDNA A830049F12 gene,319915,3,111756831,2,113656849
13368,Lefty1,left right determination factor 1,13590,6,4508,2,100054941
49848,Btbd11,BTB (POZ) domain containing 11,74007,6,701185,2,100075662
12093,Calb2,calbindin 2,12308,7,3228,2,100029254
46645,Pgrmc2,progesterone receptor membrane component 2,70804,6,111881113,2,161154813
58209,Tbx19,T-box 19,83993,10,69778794,2,70593394
21593,Thrb,thyroid hormone receptor beta,21834,5,701162,2,100076311
50437,Cds1,CDP-diacylglycerol synthase 1,74596,7,1194,2,100015434
68246,Nxph4,neurexophilin 4,104080,1,5562,2,100047446
11227,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",11438,5,4005,2,100051775
21572,Tgfbr2,"transforming growth factor, beta receptor II",21813,10,69084309,2,69133680
12637,Cort,cortistatin,12854,7,702428,2,100084521
79897,Pofut1,protein O-fucosyltransferase 1,140484,10,70298609,2,71209859
17909,Npas1,neuronal PAS domain protein 1,18142,5,6224,2,100055958
20348,Smarca4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",20586,3,112446539,2,113656552
69514,Akr1c18,"aldo-keto reductase family 1, member C18",105349,6,4545,2,100055181
19181,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,19418,7,4743,2,100042583
12956,Dcc,deleted in colorectal carcinoma,13176,5,701797,2,100088169
86223,Dsg1b,desmoglein 1 beta,225256,8,5492,2,100056571
35576,Dmrtb1,"DMRT-like family B with proline-rich C-terminal, 1",56296,7,5097,2,100053552
92920,Vat1l,vesicle amine transport protein 1 homolog-like (T. californica),270097,8,5760,2,100070191
18376,Pdyn,prodynorphin,18610,10,703202,2,100084980
92612,Nrip1,nuclear receptor interacting protein 1,268903,5,7041,2,100072903
68410,Slc6a5,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5",104245,10,69426120,2,69874024
80230,Slc17a6,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",140919,1,2975,2,100028424
22166,Wnt10a,"wingless-type MMTV integration site family, member 10A",22409,7,3982,2,100034573
120482,Lmtk3,lemur tyrosine kinase 3,381983,3,703949,2,100094484
84170,Adcy2,adenylate cyclase 2,210044,6,703374,2,100092196
12704,Crhr1,corticotropin releasing hormone receptor 1,12921,2,702274,2,100093119
22035,Usf1,upstream transcription factor 1,22278,7,5312,2,100052814
20512,Spp1,secreted phosphoprotein 1,20750,6,4647,2,100056075
18756,Pou3f3,"POU domain, class 3, transcription factor 3",18993,1,703638,2,100091136
89252,Tox3,TOX high mobility group box family member 3,244579,2,5927,2,100058862
15154,Onecut1,"one cut domain, family member 1",15379,6,702966,2,100091957
20140,Sfrp1,secreted frizzled-related protein 1,20377,8,6317,2,100093786
17027,Mef2a,myocyte enhancer factor 2A,17258,1,5682,2,100054329
12597,Col11a1,"collagen, type XI, alpha 1",12814,3,701548,2,100085121
19646,Rora,RAR-related orphan receptor alpha,19883,3,5654,2,100053213
22012,Uncx,UNC homeobox,22255,3,703951,2,100094444
15106,Hmgn2,high mobility group nucleosomal binding domain 2,15331,2,6336,2,100072744
83882,Skor1,SKI family transcriptional corepressor 1,207667,7,703999,2,100101248
83373,Grhl1,grainyhead-like 1 (Drosophila),195733,3,5728,2,100054568
18205,P2rx4,"purinergic receptor P2X, ligand-gated ion channel 4",18438,10,69454318,2,69860987
16656,Limk1,"LIM-domain containing, protein kinase",16885,8,6256,2,100083575
68410,Slc6a5,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5",104245,3,4923,2,100047182
12607,Col2a1,"collagen, type II, alpha 1",12824,3,6132,2,100057588
37561,Pvrl3,poliovirus receptor-related 3,58998,3,4581,2,100039746
88952,Grin3a,"glutamate receptor ionotropic, NMDA3A",242443,10,69454292,2,69859865
13433,Egr3,early growth response 3,13655,7,112653257,2,166002267
14958,Hdac2,histone deacetylase 2,15182,8,6153,2,100075142
13286,Dsc3,desmocollin 3,13507,10,81618742,2,81655564
17037,Meis1,Meis homeobox 1,17268,1,701217,2,100079106
12605,Col18a1,"collagen, type XVIII, alpha 1",12822,6,701224,2,100075722
